sentence,label
( ( [ number ] + number - number * number ] / variable / number ) ) - variable,0
variable * ( variable ) + ( variable ] ) * [ variable number number - + ] * number,0
number * ( [ variable number - number / ] ) - ( * variable ),0
number * / number ) + number,0
number - [ number ] / variable - number / * [ number variable / variable variable * / ] * number,0
variable - [ number number * ] + variable + [ number number / ) / variable * ( [ number ] ) / variable,0
[ variable number number number number / variable + / + variable - / number + ] * variable,0
variable / [ variable number / ] / number / ( variable ) + number ) * number * ( number ) - variable,0
[ number variable variable * number variable variable - + / variable number * variable - variable - * / number variable - variable - / variable / ] * variable number,0
number - [ variable variable variable variable * number - variable variable - + + variable variable number / / number variable + - - ] - [ number variable variable * * ],0
variable + variable * variable - [ number number + variable * ] + number / [ variable number ],0
number * variable * ( variable + number * variable - variable + number - variable,0
variable - variable / [ number ] + [ variable number variable variable + / variable - number + ],0
[ variable number + number variable variable - - ],0
[ variable number number - * number number variable + * + number - variable ] / variable,0
number / ( number ) / variable - number / ( ( number + [ variable ] ) ) + number / variable variable - number,0
number + [,0
[ number number variable number + number - + variable variable * number variable ] - * * * ] - variable,0
( [ variable number number / variable - / variable variable + + ] - variable ) / variable * variable / * ( ( variable ) ),0
[ number variable + ] / [ variable ] / variable * number / ( variable ) / number * number,0
variable / number / [ variable variable / variable number - - number / ] / variable variable / [ number variable number * + ] * number / number - variable,0
[ variable ] / - [ number ],0
( variable * variable ) * [ variable ] * / ( variable + number ),0
( variable - variable / [ number number * number + ] number + - ] ),0
variable ] * variable,0
( ) ( variable ) ),0
[ variable number number number variable + variable variable + + number variable * / - - number ] number variable * * number + number number - number + - - number + number * - ],0
- [ number ] / ( ( variable ) ) - [ number number - ] - number - number * number - variable * number + variable + variable,0
[ number variable + variable variable number + + variable - / variable + variable variable * / ] - ( [ variable variable / ] ) + number - [ variable + number,0
number / [ number variable * variable number number * / - ( ],0
[ number ] / [ number variable - ] - number - number * ( variable - variable * variable * number,0
[ number ] number,0
( number * variable * number ( - [ number ] - number * number / variable ) / ( variable ) - variable / number,0
number + [ number variable / * variable variable variable + + / variable * variable * ] * number,0
( variable - ) + number,0
[ variable number variable / number * / number - + variable * number + variable - variable + ] - number + variable,0
[ number variable number + / - ],0
( ( number ) * - variable ),0
( [ variable ] ) + ( variable ) / ( variable ) / number + number - variable * number * number,0
( ( variable ) ) - (,0
[ number number number variable / variable variable - number number variable / + + - number number * * ],0
number / ( number variable + variable - variable * ] ) + variable * variable + ( variable ),0
number - variable - [ variable number - + number variable / number - number + / ],0
( variable ) + number * variable * * number / number,0
[ variable variable variable variable number - - + number number - number / - number number - / + number + ] * variable + number + + number + variable,0
* [ variable number + ],0
( variable + [ variable ] * [ variable ] + variable - * variable - number + variable ),0
( number * variable / number + number + variable * variable * [ variable ] - number * number * number * number ) + variable ) / variable / number,0
[ ) number number + number / number / variable - variable / ],0
( number / number number + variable - variable * number ),0
number - number + + number / number * [ number number variable / number * + variable - ] * number / number + number - number,0
( [ + number variable - number number / number * - ] ) - number,0
[ number ] variable * variable,0
[ number number variable variable number - - / + number number - / / variable * / ],0
( ( variable ) ) + variable / variable + - [ variable ],0
variable * [ variable variable number variable / * - number * * variable / ] * number - variable + variable - variable,0
[ variable variable variable + variable variable + * / ( number + number number * * variable * variable - number / number * ],0
( variable / number ) + variable + variable - variable * variable - [ / variable,0
variable + variable * variable - ( number ) * variable / variable - variable + ] number ] * variable,0
( variable + ( number + ( variable ) ),0
[ variable number number variable / number number number / variable variable - / * / / ] + variable,0
number / variable / variable ( ( ( number ) - ( variable ) + variable ) * variable,0
( [ variable variable variable - number * variable * * number number + * variable - variable * ] ) - variable,0
variable * variable * variable / number + number - number - variable + number / - number * number - number / number / number,0
variable - variable / ( variable ) + variable / [ variable ] * variable * variable * variable - [ number variable variable / / ] * number * number + variable - variable,0
[ * [ number ],0
( ( ( ( number - number * number ) / ( variable ) / variable * variable - number ) ) * variable / [ + ] ),0
( ( ( number + [ variable ] ) ) + [ variable variable [ number * * + ] - variable * variable ),0
[ number ] + ) number * number / variable * number,0
variable + ( [ variable ] / number / variable * [ variable ] - variable / [ variable ),0
number + [ number variable / ] * number + variable [ number ],0
variable + ( ( number - variable * ( variable ) ),0
variable - /,0
[ number / variable - ],0
[ number ] + [ number ] number variable - variable - variable * - - ] + number / number,0
number / number - number + number * variable * number / number + number - variable,0
( ( ) - variable * variable + number / variable / number - number - ( variable ) / variable + variable + variable,0
( variable + variable / ( number * ),0
[ number variable variable * * variable + variable variable variable + / variable + - * variable + ],0
variable * variable / variable + variable / number * variable + variable - [ number ] * variable,0
( variable / - number + number + number + number - variable / variable - number ),0
number * ( - ) / ( variable ) / variable / variable / number + variable + variable / [ number ] / variable,0
variable * ( [ variable variable number * - ] - number ) / number * variable variable variable,0
variable + variable / [ number variable number number + - - ] - ( [ number ] ) /,0
variable ) / variable / number,0
( variable ) - [ number variable number / * ] / number - number variable * ],0
[ number number variable variable variable - / number + variable number variable + number / + / number - ] * variable,0
variable + ( number + [ variable number * number number number number number / - * / ] - variable ),0
( [ number ] / [ number variable + number number / ] - number + variable ),0
[ + variable * ( variable ),0
variable - ( number ) + ( [ variable number * ] ] ),0
number ) variable - number * variable + [ number number variable + - ] - number + number + variable / variable,0
( ] variable + number / variable - variable * number * number / [ number ] / [ number variable * ] - number + variable ),0
[ variable ] / ( * number / number / number + number,0
( [ [ number variable number number variable variable * variable * * / number * variable variable number + + * / variable / - ] / variable ),0
[ variable variable number ],0
( number / variable + number / variable * variable / number,0
[ variable number - number number / number variable / variable - * variable variable variable * number - / + ],0
/ variable ) * variable,0
( ] number / [ variable variable number number - + number / / ] ),0
variable - ( ( number + variable variable / variable * number ) ) / number / variable + variable + number,0
number - [ number number + variable - ] + number * number / ( / number ) - [ variable ] + number,0
number / [ number number / variable number / * number number / variable / + number variable + number / * number /,0
variable * number / number + number + number + [ variable ] / / [ variable ],0
( ( number ) + / number / number * variable + number ) * variable + variable / variable + variable - number,0
( variable - variable ) * number ( variable - [ number ] / number,0
( + number / variable ) ),0
( number + variable number * variable + number / number ) + variable - number,0
( variable ) + [ variable ( variable variable number * variable / - - variable * - number number * / ] - number,0
variable + [ + ],0
( ( ( ( [ number variable / ] * [ ) / number ) ) + variable ) + variable,0
[ variable number number variable variable * * - number variable * variable variable + / number * - + number * ] / number + [ / variable number / ] + variable,0
number + / number,0
[ variable number - number number / - number / * ],0
[ * variable ] - [ number variable * number number / number - * ] * variable / number * [ number ],0
[ number variable + ] + number number,0
[ number number variable / ] / number + number,0
( [ number number variable variable ] / / - variable variable number variable + variable variable / - number + - variable number * + * * ] * variable ),0
variable + number - ( number ) * variable * number - variable - number * - number / variable * variable * variable * ( variable ) * number,0
variable * number / number * variable * number * ( number ) / variable,0
[ variable number variable variable number / / + * number variable - - number / * + ],0
[ variable variable number * variable / - number + variable * variable * number / number variable / ],0
variable * * ( [ number number / ] ),0
[ variable number * variable - ] * number / variable + variable + ( number number,0
[ number number number / variable number + / + + number - / variable variable / * ] + variable / number * number + variable,0
number / [ variable ] [ variable ] + number * variable + [ number number variable / number + / ],0
( ( number * variable * [ variable ] * variable ) ) - number - number - number - variable - variable * number + -,0
( ( + * [ number ] * variable ) - number / number / variable - variable / variable ) * number,0
[ variable variable ] + ] * [ number number - ] * number,0
variable * [ number - variable,0
number * variable / ( number + [ number / number - ] - number ),0
[ number * variable variable variable * * + ],0
variable - variable + * ( [ number ] ) * ( number ) + number,0
( number ) / [ variable ] ) variable / variable / ( variable ) * number,0
( variable * number + number ) ( / variable - variable / number / number * number - ( number ) / variable - number / variable * number * ( variable ),0
variable + ( number ) * number / variable - variable - number,0
variable * number / number * [ variable - number,0
number - variable ) * number / number / variable + variable / variable,0
[ variable variable number / / number variable - - number variable - variable - - number variable * * / variable + number - ],0
variable + variable - variable * variable number * ] / number + number * variable / number * variable / number / number / number / variable * variable,0
( [ variable variable * variable variable * + variable - ] / number * number ( + variable * number - ( number ) ),0
[ variable variable / ] + number * ( number / number ) * + ( ( number + variable ) ) + number,0
( number - variable + ] + variable / ( number ) - number / variable ),0
number + [ variable ] * ( variable ) + ( ( / number - variable + number + ( variable ) - number ),0
number + ( number variable ),0
[ variable ] * [ ] + ( number ) - number / variable / number,0
number + variable + variable * number * variable * number / variable [ + number * variable,0
( number ) / variable + * variable + variable * variable + [ variable ],0
( [ number number * variable variable number / number / variable / - variable * number ) variable - * * variable + ] + variable ) - number,0
number + ( number ) - variable / variable number / variable + number,0
number * variable / / variable,0
( ( number ) - ( variable [ ) * variable / number / variable * number + number ),0
( number + [ variable - ] ) + variable * variable - number - number / variable - variable - number * number - variable,0
( variable ) - number - variable / number / variable / ( variable ) ( variable,0
variable * ],0
[ variable variable variable number variable number variable * + - - - - number + - variable variable - - / number / variable + ],0
number / [ [ ],0
[ variable number number * number / * variable * ] * number - variable * variable / number ] - variable * variable + ( variable * variable - number - ( number ) + variable ) * variable,0
number + [ number ] * ( [ number + ] ),0
( variable + ( ( number ) * number ) / variable * variable ) * [ + variable ],0
variable / variable - [ number variable / number * ] + number + number * variable / ( variable ) / variable / variable + variable + number + variable * / number * variable + variable,0
) variable + variable,0
variable variable [ number number variable number number - variable variable * - / - / ] * variable * variable,0
variable + ( variable + variable / ( ( variable ) ) * variable * variable - variable * variable / number / number - variable ),0
( ( ( number / [ variable ] ) ) ) ) * variable,0
variable number - [ number variable + variable variable + number number * number + variable / / variable variable + * * ] - number + variable,0
number - ( variable / variable ) * [ variable number number + number number + * number + - variable - ] - number * * ( variable ),0
( ( number - variable * variable variable ) ) - number * number + variable + variable,0
number * number - ( variable ) * variable + ),0
+ number / [ number variable * number variable * + number number - + variable + ],0
* variable / number - [ number ] * number * [ variable ] / number * variable,0
number * ( number * ( number * variable ) * variable ) * - / variable / [ variable number * ] * number / number + number,0
variable * ( variable / variable - variable number ] * variable ) / number,0
number / variable - variable * number + [ variable number - variable / number + + ],0
variable - number + ( number * variable - variable - variable / variable,0
variable - variable - ( ( number ) ) * number * number * [ variable * - variable - ( ( number - variable - number ) ) * variable,0
( [ number variable number number * / ] ),0
variable + number * variable * number * number - number - number * ( variable ) / number + + number - [ variable number number - + ] * number,0
( number ) * number * variable [ variable * [ number ] * variable - variable - [ number ] * variable,0
variable - [ number variable * number - ] + variable / number variable [ number ] / number,0
[ number number + variable variable number variable - - variable + + number + number variable / number * number * * / / number + * variable + ],0
( [ number ] ] * variable + [ number ] - number - number - number ),0
[ variable variable * number variable - variable number * - + variable number - variable variable - - - ] - + number / [ variable number * ] * number,0
[ variable variable number - number + variable variable + + + variable / + variable * * ],0
( [ number ] +,0
[ variable variable + variable variable / + number number - variable number - + + number / ],0
variable [ [ variable ] - variable - variable,0
[ number variable + / variable + variable variable variable / - * number - number - ] / [ variable ] * number,0
number / number * variable + variable - ( number ) + [ variable ] / number / variable - / number - number,0
] / [ variable ] - [ variable number * ] / number + number - ( [ variable variable - ] ) / number,0
( [ variable variable variable + * number + / variable - variable variable variable * + - ] - number - variable + variable ),0
[ number number variable variable variable * / * ) + / variable variable / + ],0
( ( [ variable number * - ] ) * variable ),0
[ variable variable * number number number number + variable * - / variable - number + variable / number * variable - [ variable - / ],0
variable / variable - [ number number variable + - variable * number,0
( [ / variable number - - variable + ] + variable / variable + number ),0
( [ number variable number + * number + number / ] ) * variable + number + ( ) - number,0
( ( number / variable / ( number / variable + + number / variable + variable + variable - variable * number ) ) ),0
( number * variable number + number - variable - variable * [ number ] - number ),0
[ number variable variable + number variable / / + variable * - number variable * variable number / / / variable number / / variable - ] - [ variable number / ],0
number / variable + ( number variable ),0
[ number ] / variable number,0
( variable + [ number ] * variable + variable + variable - number ),0
( ( - number ) ),0
[ number ] - number - variable * ( number ) * number * number - number / number + + variable / variable * number / variable,0
( [ number ] ) * ( number ) / ( number ) * [ number ) number - number / - ] * variable,0
number * variable - ( number ) / [ ] + number - variable - number / variable - variable + number * number,0
[ variable number number variable + * * + number number variable variable * number variable / + + / variable * + ] + ( number ) / number,0
[ number * number variable * variable variable * - / variable variable number number * number + * * + ],0
[ number variable + number / * variable number + - number - variable * ],0
( number ) - variable + variable ) / number - number * number,0
( [ variable number number variable variable number - number + * / + ] ) - number * number,0
( ( variable + variable + ( variable ) ) + variable + number + number * variable / ( number ) * * number ),0
[ number ] - ( / variable ) + variable - ( variable ) / number * variable * variable / variable,0
( variable * variable / number - variable - variable - number ) / * number * number / variable,0
[ variable variable number number / * number * number number - * variable + variable number * + / number - variable - ] - number,0
[ variable ] - number * ( number * number ) - variable * number * number / number - number,0
number - ( - number ),0
variable - ( [ number number number + - variable / * ( variable ) * number ),0
( number + number + number + variable + variable + number + variable * number variable - variable / variable + ( variable ) ) / variable,0
variable + variable + number - variable * variable variable - number / number + [ variable ] / number / variable * variable * number,0
variable / variable - ( ( ( [ variable ] ) ) - - number ),0
[ variable number + number number variable * - variable number / / variable + ) - variable / variable + number - - ],0
( ( [ number ] - ( number + number + number + variable * variable - variable number ) ) ),0
number + ( [ variable number number variable number number - - / - / number - variable - ] * - number,0
[ number variable * number / number variable * * variable / ] * number / variable / variable / number - variable - + number / number,0
number + * ( [ variable variable number number * - variable variable * - + variable * ] ) + number - [ number number number - + ],0
+ variable / variable / ( variable ) + number / ( variable ) / variable - number / number / variable / number,0
[ variable variable / ] - [ number number * number ] * variable + number / variable * variable,0
variable / variable / variable + ( variable ) * - variable * number * variable / number + number,0
( [ number variable variable - variable number * * - number ) + ] ),0
[ number variable - variable number ( number number + - variable number + variable variable + / + / variable variable / * ],0
number variable / number + ],0
variable - variable * number + variable + variable / number * number - number * variable,0
[ variable variable number / - variable + number + number - number [ number variable / / variable + ],0
[ variable variable * number number + number variable - variable number + + - number / number * ],0
variable + ( ( variable variable ) * number - variable - number * number ) + variable - number * variable,0
[ variable ] / ( variable / number + variable ) * / variable,0
( ( variable / ( variable ) ) - variable / number + variable / variable + variable - [ variable ] - ] ),0
( number ) - variable - number + number / variable - [ number - number / number,0
( ( number / variable - variable * variable / ( number ) + number / variable - number * variable * [ number ) ),0
( [ variable number / number + variable + / ] ),0
( [ variable ] ) / number - number + ) * ( [ variable ] ),0
[ variable variable number + variable - variable + / number number + - number + number + variable + variable + variable * / variable - variable + ],0
[ number ] - [ ( variable / number + variable * variable * [ variable ] - variable ) - [ variable ],0
number + number - ( variable * [ variable ] ) - ( variable ) - number + variable,0
( ( number ) variable ),0
- [ variable ] * number,0
[ variable number variable variable variable - - number + variable * - number + number variable variable / / variable number + - / variable - number - variable * ],0
( variable ) / number * variable variable,0
[ variable number + number number number * variable variable / number variable / * / + / number variable - number * - number number / - * number - ],0
[ / number number number variable * variable + variable - variable variable / * + / number variable variable - + / variable + ] / number,0
variable * variable + ( number + number - number ) / variable / number + number / variable,0
( number / ( variable ) * number + [ variable ] - number * number ( / variable ),0
number * number ),0
number * + [ variable ] * [ variable ] - number * number * number,0
number number / ( number ) / ( number ) - ( number ),0
[ number variable number * variable variable * / - number - number * variable * ] ) number,0
( ( number * number * ( variable ) [ ) * ( variable ) ),0
( [ number variable variable * - number number - * ] - number /,0
( number / number ) [ variable variable + variable number - + variable * ],0
[ number variable - number / number variable number / number + * ] / variable,0
[ variable variable - * variable - variable * / variable * variable - ] - variable + number,0
variable - variable variable + number * variable * [ number variable * variable number variable * / number * * ] + variable / ( variable ) - ( number ),0
( [ number ] + number ) * number / variable * variable - number + + variable - ( variable ),0
[ number number number number * variable + - variable + number / / * number variable + - variable / variable + ],0
( number / ) * [ variable number / variable variable - * number + number / number / ] / number / number,0
number / variable / [ variable ( number - number * ] - variable - number + ( variable / number / variable ) - number,0
number / ( number * [ variable ] + number + variable / variable / number * number * number + variable + ) + number + variable * variable,0
number number - [ variable variable / ] + [ variable ] / variable - number,0
number + ( number - variable ) - number * variable / number - ( variable ) + number + number,0
number * ] variable,0
[ ( ( variable - ( number ) ) - number ),0
[ number number / + ] + [ variable variable + ] / number * variable + [ number ] - variable * variable * number / variable,0
number - [ variable number + variable / number variable variable number + * variable * + / + ],0
[ variable number number + number variable / - - ) variable number variable * number / number + - variable variable number / - / number + - ] * variable,0
variable + / variable,0
( variable + [ number number * ] ) / variable * ( variable ) + number variable / ( variable ) + [ number ],0
[ number number variable * variable / variable variable ) variable number / - variable / / + ],0
[ variable ] * variable * variable - number - number + variable ( [ variable ] ),0
[ variable ] * variable number - variable + number + number - variable - variable / number + number,0
( [ number number / ( ( number ) ) / [ number number + ] / [ variable ] ),0
[ variable number number number variable * ( * variable * * number * number - number * ],0
number - - variable,0
+ number ] / variable,0
( ( number + number ) + number * variable / variable * [ variable ] + ( number ) / number ) + [ variable ] + variable / variable,0
( [ number number * ] * ( number + number ) * ) * ( number ) + number / variable,0
variable + variable + ( - [ variable ] - variable + ( [ number ] / variable / number ),0
[ number ] - ( [ variable number variable number / * number number - variable - ] + number ) - number - number,0
number / number - [ number number + number / variable number / * ] - variable / variable + +,0
number / ( number / ( [ number ] + variable * number ) / variable ) - * variable * variable + variable,0
variable - variable number,0
[ variable variable variable / * variable variable * variable - / variable number + number + * / ],0
( / [ variable ] / variable * number - [ number number * ] - variable - variable / variable + number - variable * number - number / number ),0
variable + [ number ] / number / number * [ variable ] ) variable,0
number - variable - number + variable - number - number variable variable / / variable variable variable + - number variable variable - * + + ] / [ variable number - ] * variable,0
number * number - ( number - ( number ) - variable ) + [ ] / variable,0
variable + variable + variable / [ number ] * number + variable / ( number ] + number + variable ) / variable + number,0
number / number - [ variable / variable number number * / number number * * number number - - variable + * + number variable - number number + - * variable / ] * variable,0
number * [ ( number / variable - ] * number + number - variable * variable / number - variable / variable - number / [ number number variable * * number + ],0
variable * [ number variable variable - variable variable - variable number variable * + * / number / * + ],0
variable / number + * number + number / number - variable ) * number * ( number ),0
( [ variable ] ) - variable + variable * [ / variable,0
[ number number variable number / number - variable * + variable variable / / number - - variable * variable / / ] + number,0
( variable + / variable - number / variable - number - variable - variable ),0
number ( variable - ( [ variable number - ] ) + variable ),0
variable + ( number + number / variable + variable - number - variable + variable + number ) - number - [ variable ] - variable * / variable,0
( variable * ( variable / number + number * variable ) / number ) - ( number ) * ),0
( number * number - number + variable + [ number variable + number - ] / variable * variable - number ),0
number + variable * [ number variable number variable number + number - * + + variable - number variable - - variable + number - ],0
[ number variable / / number variable number - * + + number / ] - ( number ),0
variable * [ variable variable number variable variable + + number + ) number * + variable + number * variable - variable + ] * number,0
( [ number variable number number number - number * - - - number number / number * number * ] / variable ) - variable,0
( ( number * number + ( variable + number + variable * [ variable [ / ] ) / variable - variable ) * number ) + number * variable,0
number + number + number / variable / number / number / variable / variable variable ) * variable,0
( * ) * [ number number variable number variable number / variable + variable + / / * variable / - ],0
number * number ) number,0
) number number variable * + variable * variable / variable + number / variable / ],0
( variable * variable ) ( + variable - number + variable - number / variable,0
( number / ( ( number ) ) + variable / ( ( variable ) * number ),0
( ( number - variable ) - ),0
[ number number number variable * variable number - * - - number - variable * variable + variable + - variable + ],0
[ number variable variable number - variable * variable + variable + number + / ],0
( number ] - number / number - ( variable * number ) + number - variable,0
( variable ) / number + variable * ( [ variable / number - ] ),0
variable ( variable ) ),0
* variable / number + number,0
[ variable [ variable variable variable number variable variable - * / number * * / * variable / variable number variable / + / ],0
( ( number ] * variable + number * variable + variable ) * number * number ),0
( variable + ( ( variable ) ) ) ),0
( variable * variable * variable / ( variable variable + number ),0
[ variable number * ],0
number * variable + number variable + number - number / number,0
[ variable number / number + number number - / * number / variable + ],0
[ number variable number + number [ number variable - * * variable variable / + + ],0
[ number number variable / variable variable - + number * number * variable - - variable / - ],0
[ number number number + - * ] * number,0
[ number number variable number / + - ] ( number ),0
variable - [ variable number / ] / variable * ( variable ) - [ number variable ] + ] * variable / number,0
[ number variable * variable number number / variable * number / variable / / variable + ] * [ variable ],0
( variable ) * [ number ) variable - - variable number variable / * - ] * ( number + variable ) - number,0
[ variable variable - number number / * variable / variable / number * number / variable + - ] / variable,0
( [ number ] ) / variable / variable * number - number + variable / number / variable + * variable + variable,0
/ - ( ( variable ) ),0
[ variable variable + variable number variable / + ( variable + / ],0
[ variable ] + variable variable ) / ( number ) + number + variable - number,0
( * variable,0
[ number number / number number number number variable + * - variable + * number - ] + number - variable,0
( ( ( number + [ number ] ) ) ) ),0
variable * ( ( ( [ variable ] - variable + number ) ) - ( number ) ) + variable number + [ variable number / ] - [ number ],0
number * ),0
( number + number + [ number variable + ] - * variable - variable - number ),0
number + [ variable / variable,0
( number + ) * variable,0
variable - variable * variable + [ variable variable number / number number / + ] * number + variable,0
number * ( [ number number number * - number * ] * + variable - number ) + variable * ( variable / variable - variable * number ),0
[ number number variable number variable + - * number + * ] + variable + variable / variable - [ number ] * variable + number + variable / number * - number,0
( number * variable / ] * ( ( [ variable ] ) - number ) / variable ),0
[ number ] ( ( variable ) / variable ) + number,0
( [ number variable number variable number / / / number + number - ] ),0
number / ( ( variable ) ) + variable / * variable - [ variable variable / ] - number,0
( ( + ) ),0
( [ number ] * ( number ) / [ number ] * variable * ) ),0
[ ( variable ) - number,0
number / ( [ number variable + variable variable number - / variable number / variable variable number - / * * / variable - ],0
variable [ variable variable + number - number / number number - number variable + - / ],0
[ variable ] / number - variable - [ number number ] * ( number ),0
) [ number number * ],0
variable - [ number number variable - number - * ] * [ variable variable * ] /,0
variable - variable * number - ) + variable * number - variable,0
( ( variable + variable + number - number + variable + variable / + variable ) ) * variable,0
[ variable ] * variable * ( number ) / variable * ( variable - variable number ) - variable - ( number ) / variable,0
number - ( number / variable * number * + variable + number - [ number number number * number / / variable - variable + number variable variable / + + number / ] * number * number - variable,0
( number - number + variable * number / variable / number / number + number - number / ),0
* ( variable ) - variable * number + number - number * number / [ number number / ],0
number + [ number ( variable number variable number + + number + * variable / / number - ] / number / number / number,0
( [ ] ] ),0
variable + number - ( * ),0
( [ number variable / + variable ),0
[ variable variable number number / * / [ + ],0
variable / number - [ ] / number,0
[ variable ] ],0
( [ number variable variable + + ] + number + ( number ) ) / ] number ] + variable / number * number,0
[ number variable + variable number - - number number * * / ] / number * variable / variable,0
( ( variable - number ) / variable + ( variable / number * variable ) - number * variable ),0
[ number variable variable number - * number + / variable / ] /,0
variable - ( ) number ) ) - variable + variable / variable,0
( ( number / variable + ( variable ) + number ) - variable + variable * [ number ),0
number variable - variable,0
( ( [ variable variable - variable + number * ] - variable ) - [ variable ] / number * variable / variable ] ),0
( number variable - ( variable * number ) - variable / variable ),0
variable + ( variable ) * number * variable * number * variable ) * variable,0
( ( variable ) ) ( + ( variable ) + variable / number * number + ( number ),0
( ( [ variable ] * variable / [ variable variable * ] + number ) ) ),0
+ number ] * variable - variable * number - variable + variable - ( ( number ) * variable ),0
[ number ] + variable * variable * ( [ ) - variable + ( number ),0
number - ( [ variable number * number number number number * + / + variable variable variable - + number * - - ] ) - variable + variable * number * number,0
number - [ number number * number variable / * number / variable - ] / number + ( variable + variable ) [ number - variable * variable,0
[ variable * ],0
number * number + number ) / ( number - variable ) - number + number / variable,0
number / ( number ) + number + number + number * [ variable number number variable number + / - variable + ] / variable / variable + number / variable / [ number ],0
[ number number * variable number variable * number * * - ] / number / variable * ] + variable - number,0
variable / ( variable - [ number ] - variable * number - variable + number * number ) / variable * variable - number,0
[ number * number number number variable / * variable number - - - / variable - number variable - variable variable - + * ],0
[ number variable number * - variable number number + - - * number number / + number * number - ],0
( ( ( number + number ) * / number ) ),0
[ + number ],0
( ( number ) ) / [ - variable ],0
number / [ variable ) * number,0
[ number / number - - variable / ],0
[ variable variable variable + number number / variable + * * * variable * - ],0
variable + [ variable variable number variable / * variable * number + / - variable number variable * - - number - ] - number - number + number / variable * variable - number + number,0
number variable number + number / - variable number / variable / - variable * ],0
( ( number - number ) * ( number ) * ( variable ) -,0
[ number variable * + number * number / number variable number - number * * variable / / ] + variable,0
* [ number ],0
[ number variable number + ],0
/ [ number ] + variable + ( number ),0
variable / [ variable number number number * + - - number + ] * number,0
[ number ] + number,0
( ( [ variable ] ) + number ) / variable + variable + number ) * number,0
+ [ variable variable - ] / number,0
( [ number [ number / variable + number number / * variable * ] ),0
( ( [ number ] / number * variable * number * number / number variable - [ number variable number / number * - ] - number ) ),0
